source_reference,incident_title,organization,location_site,location_state,location_area,activity_type,equipment_involved,oisd_standard,narrative,hospitalized,amputation,loss_of_eye,fatalities,nature_of_injury,part_of_body,event_type,sif_potential,sif_potential_binary,sif_confidence_score,sif_rationale,life_saving_rules,barrier_type,barrier_status,root_cause
OISD/SA/2026-27/E&P/02,Fatal Accident while stacking Drill Pipe at Rig Floor,Oil India Limited (Contractor Rig),Duliajan,Assam,Drilling Site DS-22,Drilling Operations,"Drawworks, Drill Pipe Rack & Cathead",OISD-STD-105 / OISD-RP-174,"During tripping out operation at Drilling Site DS-22 near Duliajan, Assam, a 5-inch drill pipe stand was being racked back in the derrick. The floorman was guiding the bottom of the drill pipe stand into the fingerboard when the air winch line slipped from the cathead. The suspended pipe stand swung violently across the rig floor (Line of Fire), pinning the floorman against the drawworks console. The floorman sustained severe crush injuries to the thorax and was declared deceased upon arrival at OIL Hospital, Duliajan. Investigation revealed that the air hoist wire rope was worn beyond discard criteria (3 broken strands in one lay length) and the winch operator did not have a clear line of sight to the floorman.",1,0,0,1,Crushing injuries / Internal Hemorrhage,Chest / Thorax,Struck by swinging / suspended drill pipe stand,SIF-Potential,1,0.98,Direct industrial fatality during rig floor tripping operations; swinging suspended load; catastrophic Line of Fire barrier failure,Line of Fire|Safe Mechanical Lifting|Bypassing Safety Controls,Engineering Control / Rigging Certification,Failed – Not functioning,"Defective air winch line, lack of visual communication between winch operator and floorman, failure of daily pre-shift lifting inspection."
OISD/SA/2025-26/E&P/04,V-Door and Catwalk Dropped Object Near-Miss during Casing Running,Oil India Limited,Moran,Assam,Well Pad WP-09,Casing Running,"Catwalk, V-Door, 9-5/8 inch Casing Joint",OISD-STD-105 / OISD-GDN-145,"While picking up 9-5/8 inch casing joint from catwalk to drill floor via V-door at Well Pad WP-09, Moran oilfield, the single-joint pickup elevator latch opened unexpectedly midway up the ramp. The casing joint (weight approx. 1,400 kg) slipped out and slid down the V-door ramp at high velocity, crashing into the catwalk tub. Two roustabouts who were preparing the next joint on the catwalk had cleared the drop zone moments earlier following a verbal warning from the tool pusher. No injuries occurred, but catastrophic crush potential was present. The safety latch spring of the pickup elevator was found fatigued and jammed with dried drilling mud.",0,0,0,0,Near Miss (No Injury),None,Dropped object / uncontrolled descent of heavy tubular,SIF-Potential,1,0.92,High-potential Near Miss (PSIF); 1.4-ton casing joint dropped into occupied work area; fatal crush potential,Line of Fire|Safe Mechanical Lifting|Bypassing Safety Controls,Equipment Maintenance / Drop Zone Enforcement,Degraded – Partially effective,Elevator safety latch mechanism jammed with drilling debris; inadequate pre-job inspection of lifting accessories.
MoPNG/Inquiry/Baghjan-05,Blowout and Uncontrolled Hydrocarbon Release at Wellhead,Oil India Limited,Duliajan,Assam,Baghjan Well #5,Workover Operations,"Blowout Preventer (BOP), Tubing Hanger, Christmas Tree",OISD-STD-189 / OISD-STD-105 / DGMS OMR-2017,"During workover operations at Baghjan Well #5 near Duliajan, Assam, to test new gas producing sand, the workover crew pulled out the tubing string without properly killing the well or maintaining required hydrostatic overbalance. The Blowout Preventer (BOP) stack was not locked and hydraulic closing lines were disconnected during rig down without setting a mechanical barrier / back-pressure valve in the tubing hanger. A sudden gas kick occurred, leading to an uncontrolled blowout of natural gas and condensate at high pressure (approx. 4,200 psi), followed by fire after 14 days of uncontrolled release. Multiple emergency response barriers failed simultaneously.",4,0,0,3,Severe Thermal Burns / Fatalities during Well Control,Multiple / Whole Body,Loss of well control / Hydrocarbon Blowout & Flash Fire,SIF-Potential,1,0.99,"Tier-1 Process Safety Event (PSE); major blowout, multi-fatality fire, catastrophic loss of primary and secondary well control barriers",Energy Isolation|Work Authorization|Bypassing Safety Controls|Line of Fire,Well Control Barrier (Hydrostatic + Mechanical BOP),Absent – Not installed / Not in place,Complete failure to maintain secondary well barrier before BOP dismantling; non-compliance with standard well kill procedure; deficient management of change (MOC).
OISD/SA/2024-25/E&P/03,Hand Injury during Mud Pump Liner and Piston Replacement,Oil India Limited,Kumchai,Arunachal Pradesh,Drilling Site DS-41,Mechanical Maintenance,"Triplex Mud Pump 12-P-160, Hydraulic Jack",OISD-STD-105 / OISD-STD-141,"At Drilling Site DS-41, Kumchai block, Arunachal Pradesh, maintenance crew was replacing the worn liner and piston of Triplex Mud Pump #2. While aligning the liner puller tool, the helper placed his left hand inside the fluid end module cavity. The hydraulic jack slipped off the crosshead extension rod due to oily surface, and the liner pulled back suddenly under residual spring tension, pinching the helper's left hand between the liner flange and pump housing. The helper suffered traumatic amputation of the left index and middle fingertips. The electrical drive motor had been locked out (LOTO), but hydraulic/mechanical residual energy was not isolated.",1,1,0,0,Traumatic Amputation of left index and middle distal phalanges,Finger(s) / Hand,Caught in pinch point / mechanical stored energy release,SIF-Potential,1,0.88,Severe life-altering injury (amputation); failure to dissipate residual mechanical stored energy; pinch point hazard,Energy Isolation|Line of Fire,Isolation Procedure (Mechanical energy bleed-off),Degraded – Partially effective,Failure to release mechanical spring tension prior to hands-on work; improper alignment tool placement.
OISD/SA/2023-24/PL/01,Crude Oil Leakage and Flash Fire during Pipeline Hot Tapping Preparation,Oil India Limited (Pipeline HQ),Jorhat,Assam,Pump Station PS-2 / Valve Station VS-3,Hot Tapping,"14-inch Trunk Crude Pipeline, Hot Tap Machine, Welding Generator",OISD-STD-105 / OISD-STD-115 / OISD-STD-141,"During preparatory grinding for a 14-inch crude oil pipeline branch connection near Jorhat Pump Station, contract welders were grinding the pipe surface to prepare the split-tee saddle area. The cold work permit was converted to hot work without conducting a formal gas test at the bottom of the bell-hole excavation. Grinding sparks landed on a pocket of trapped hydrocarbon vapor from a pinhole weeping leak at a nearby drain valve, causing a sudden flash fire in the trench. Two welders inside the 2-meter deep excavation suffered 2nd and 3rd degree burns to face and arms before scrambling out. No fire watch had been stationed at the edge of the pit with an extinguisher.",2,0,0,0,Second and Third Degree Thermal Burns,"Face, Arms, Upper Body",Flash fire in excavation / ignition of trapped hydrocarbon vapors,SIF-Potential,1,0.94,High-consequence flash fire in confined excavation; multiple hospitalized burn injuries; hot work in explosive atmosphere,Hot Work|Confined Space|Work Authorization,Gas Testing / Fire Watch / Hot Work Permit,Failed – Not functioning,Failure to perform mandatory explosive gas testing (LEL check) in bell-hole trench; absence of designated fire watch during grinding.
OISD/SA/2024-25/PL/05,Pig Receiver Quick-Opening Closure Pressure Release Near-Miss,Oil India Limited,Moran,Assam,Crude Dispatch Terminal,Pigging Operations,"16-inch Pig Receiver Barrel, Pressure Gauge, Bleed Valve",OISD-STD-105 / OISD-STD-138,"At Moran Crude Dispatch Terminal, pipeline technician was instructed to open the quick-opening closure (QOC) door on the 16-inch crude pig receiver following an intelligent pigging run. The technician checked the local pressure gauge which indicated 0 kg/cm² (gauge needle was stuck due to paraffin wax blockage). The technician loosened the safety interlock bolt and began unscrewing the central clamp. A sudden hiss and spray of trapped crude and nitrogen at 4.5 bar blew past the door seal, blasting the technician's safety goggles and helmet off. The technician was knocked backwards onto the gravel bund but suffered only minor abrasions. Had the locking lugs cleared, the 120 kg door would have blown open with fatal force.",0,0,0,0,"Minor abrasions, shock (Near Miss)","Face, Arms",Stored pressure release / premature opening of pressurized barrel,SIF-Potential,1,0.91,Potential SIF (PSIF); 120 kg steel closure door under 4.5 bar trapped pressure; fatal projectile trajectory,Energy Isolation|Line of Fire|Bypassing Safety Controls,Mechanical Safety Interlock / Manual Vent Verification,Bypassed – Intentionally defeated,Relying on a single blocked pressure gauge without double-checking manual vent bleed valve; defective pressure gauge maintenance.
OISD/SA/2025-26/EP/07,Toxic H2S Ingress during Internal Inspection of Crude Storage Tank,Oil India Limited,Duliajan,Assam,Central Tank Farm (CTF Tank-14),Tank Cleaning,"10,000 KL Crude Oil Storage Tank, Mechanical Ventilation Fan",OISD-STD-105 / OISD-STD-155 / OISD-GDN-115,"During 10-year internal inspection of 10,000 KL Crude Storage Tank #14 at Duliajan Central Tank Farm, two inspection engineers entered through the bottom manhole under a valid Confined Space Entry Permit. Forced air ventilation had been running for 48 hours. After 30 minutes inside, the sludge pump on an adjacent live tank malfunctioned, causing a backflow of sour vapor through an interconnected bottom drain header that had been valve-isolated but not physically blinded (spectacle blind was in open position). Portable 4-gas detector alarmed for H2S at 45 ppm (exceeding ceiling limit of 10 ppm). Standby person at manhole activated the air horn and both engineers evacuated with emergency EEBD (Emergency Escape Breathing Device) sets within 90 seconds, experiencing eye irritation and nausea.",2,0,0,0,Acute toxic vapor inhalation / conjunctival irritation,"Eyes, Respiratory System",Toxic gas release in confined space (H2S exposure),SIF-Potential,1,0.96,High-risk confined space toxic ingress; H2S level at 45 ppm (immediately hazardous); multiple fatality potential without EEBD escape sets,Confined Space|Energy Isolation|Work Authorization,Positive Physical Blinding / Continuous Gas Monitoring,Failed – Not functioning,Failure to insert physical slip blind on interconnected drain manifold; single valve isolation relied upon for confined space entry.
OISD/SA/2024-25/REF/02,Fall from Flare Stack Ladder Platform during Turnaround,Indian Oil Corporation / OIL Joint Facility,Digboi,Assam,Digboi Refinery CDU & Flare Area,Turnaround / Shutdown,"Flare Stack Platform (Height 28 meters), Full Body Harness",OISD-STD-105 / OISD-GDN-145,"During annual turnaround at Digboi Refinery, an instrument technician was climbing the caged vertical ladder of the main flare stack (28 meters height) to replace the pilot thermocouple sensor. While transitioning from the ladder cage to the intermediate landing platform at 18 meters, the technician unclipped his double lanyard from the ladder lifeline without hooking either snap hook to the platform anchorage point. A strong gust of wind caused the technician to lose balance. He fell backward but his harness lanyard caught on an adjacent 2-inch structural bracing rod, leaving him suspended in mid-air at 16 meters. Emergency rescue team deployed a cherry picker to rescue him after 25 minutes. Technician suffered suspension trauma and severe bruising.",1,0,0,0,"Suspension trauma, lumbar contusion, severe soft tissue bruising","Back, Legs, Whole Body",Fall from height (arrested by structural protrusion),SIF-Potential,1,0.95,High-elevation fall from 18 meters; narrow escape from fatal impact; 100% tie-off procedure bypassed,Working at Height|Bypassing Safety Controls,100% Tie-Off Fall Arrest System / Anchorage Point,Bypassed – Intentionally defeated,Failure to maintain 100% tie-off during platform transition; lack of continuous fall arrest vertical lifeline cable.
OISD/SA/2026-27/P&E/03,High-Voltage Electrical Arc Flash in Motor Control Center (MCC),Oil India Limited,Tengakhat,Assam,Group Gathering Station GGS-IV,Electrical Maintenance,"3.3 kV Switchgear Panel, Main Incomer Breaker",OISD-STD-105 / OISD-STD-137 / CEA Safety Regs 2010,"At Tengakhat GGS-IV, contract electrical supervisor was investigating an intermittent tripping alarm on the 3.3 kV high-pressure water injection pump motor. Without obtaining an Electrical Isolation Certificate or de-energizing the main 3.3 kV busbar, the supervisor opened the rear cubicle door using a defeated interlock key to test voltage with a standard multimeter (rated only up to 1000V). A phase-to-ground flashover occurred, producing an arc flash and blast wave. The blast blew the supervisor backward 3 meters, igniting his non-FR cotton boiler suit. Shift in-charge smothered the flames with fire blanket. The supervisor sustained 40% deep partial-thickness burns across upper torso and face.",1,0,0,0,Electrical Flash Burns (40% Total Body Surface Area),"Face, Chest, Hands, Arms",High-voltage arc flash and blast in energized switchgear,SIF-Potential,1,0.99,High-voltage arc flash at 3.3 kV; life-threatening 40% TBSA burns; blatant electrical LOTO bypass,Energy Isolation|Work Authorization|Bypassing Safety Controls,Electrical Interlock / Electrical Isolation Certificate (LOTO),Bypassed – Intentionally defeated,Unauthorized entry into energized 3.3 kV cubicle with defeated interlock; use of non-rated test equipment; absence of arc-rated PPE.
OISD/SA/2024-25/E&P/06,Heavy Crane Outrigger Ground Collapse during Rig Mast Assembly,Oil India Limited (Exploration Block RJ-ONHP-2017/1),Rajasthan Block,Rajasthan,Exploration Rig ER-01 (Jaisalmer),Heavy Lift,"80-Ton Hydraulic Telescopic Crane, Rig Mast Section",OISD-STD-105 / OISD-STD-115,"During exploration rig mast erection at Jaisalmer desert site ER-01 in Rajasthan, an 80-ton mobile crane was lifting the 18-ton derrick mast lower section. Ambient temperature was 46°C with loose sand terrain. Crane outrigger steel pads were placed directly on compacted sand without hardwood timber matting or steel spreader plates. As the boom swung to 14 meters radius at 85% capacity, the ground beneath the front-left outrigger gave way into a subsurface uncompacted void. The crane tilted 25 degrees, and the boom struck the generator skid with a loud impact. The rigger and banksman evacuated the exclusion zone in time; crane operator sustained shoulder sprain during emergency cab exit.",0,0,0,0,"Minor shoulder sprain, high-potential structural damage",Shoulder,Crane tip-over / ground bearing failure under heavy load,SIF-Potential,1,0.93,High-potential Near Miss (PSIF); 80-ton crane tip-over during 18-ton critical lift; catastrophic crush/structural collapse hazard,Safe Mechanical Lifting|Line of Fire,Critical Lift Plan / Ground Bearing Pressure Calculation,Absent – Not installed / Not in place,Inadequate ground compaction test in desert sand terrain; failure to deploy load-bearing outrigger timber cribbing matting.
